species,active_pokedex,height,pokemonScale,pokemonOffset,trainerScale,trainerOffset,red_height_ratio,red_baseline_gap_px,leaf_height_ratio,leaf_baseline_gap_px,issues
ZUBAT,True,8,355,-4,256,-2,0.524,-19.3,0.524,-19.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GOLBAT,True,16,291,0,296,2,1.036,-1.5,1.036,-1.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ODDISH,True,5,423,15,256,-2,0.396,-1.9,0.396,-1.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GLOOM,True,8,329,10,256,-2,0.679,-0.3,0.679,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VILEPLUME,True,12,256,4,272,-2,0.831,-1.2,0.831,-1.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PARAS,True,3,546,21,256,-2,0.239,-1.4,0.239,-1.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PARASECT,True,10,307,8,256,-2,0.713,-1.0,0.713,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VENONAT,True,10,360,14,256,-2,0.608,-0.1,0.608,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VENOMOTH,True,15,256,3,293,1,1.082,-1.1,1.082,-1.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DIGLETT,True,2,706,22,256,-2,0.171,-1.6,0.171,-1.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DUGTRIO,True,7,384,14,256,-2,0.448,-1.7,0.448,-1.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MEOWTH,True,4,480,17,256,-2,0.388,-1.3,0.388,-1.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PERSIAN,True,10,320,10,256,-2,0.655,-1.4,0.655,-1.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PSYDUCK,True,8,347,11,256,-2,0.604,-1.0,0.604,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GOLDUCK,True,17,272,4,287,1,0.998,-0.2,0.998,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MANKEY,True,5,388,16,256,-2,0.468,-1.1,0.468,-1.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PRIMEAPE,True,10,326,8,256,-2,0.728,-0.6,0.728,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GROWLITHE,True,7,346,14,256,-2,0.538,-0.2,0.538,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ARCANINE,True,19,256,-1,312,2,1.307,1.6,1.307,1.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
POLIWAG,True,6,353,17,256,-2,0.409,-0.4,0.409,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
POLIWHIRL,True,10,288,10,256,-2,0.663,-0.3,0.663,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
POLIWRATH,True,13,256,5,256,-2,0.873,1.0,0.873,1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ABRA,True,9,374,14,256,-2,0.498,-0.6,0.498,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KADABRA,True,13,272,2,256,-2,0.924,-0.6,0.924,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ALAKAZAM,True,15,272,-1,271,-1,1.105,-0.1,1.105,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MACHOP,True,8,320,12,256,-2,0.611,-0.2,0.611,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MACHOKE,True,15,304,6,256,-2,0.766,-1.1,0.766,-1.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MACHAMP,True,16,278,2,283,0,1.111,0.7,1.111,0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BELLSPROUT,True,7,354,16,256,-2,0.5,-0.7,0.5,-0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WEEPINBELL,True,10,256,-1,256,-2,0.764,-9.0,0.764,-9.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VICTREEBEL,True,17,256,2,302,2,1.158,0.7,1.158,0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TENTACOOL,True,9,256,0,256,-2,0.818,-8.0,0.818,-8.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TENTACRUEL,True,16,272,-1,312,0,1.23,2.7,1.23,2.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GEODUDE,True,4,330,17,256,-2,0.367,-1.1,0.367,-1.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GRAVELER,True,10,272,8,305,1,0.856,0.7,0.856,0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GOLEM,True,14,266,3,298,1,1.018,-0.6,1.018,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PONYTA,True,10,288,7,256,-2,0.824,0.2,0.824,0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RAPIDASH,True,17,282,-1,312,1,1.287,1.6,1.287,1.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SLOWPOKE,True,12,271,10,272,-2,0.712,0.8,0.712,0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SLOWBRO,True,16,257,-2,312,0,1.148,2.4,1.148,2.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAGNEMITE,True,3,294,-8,256,-2,0.317,-28.3,0.317,-28.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAGNETON,True,10,293,-4,273,-2,0.61,-17.1,0.61,-17.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
FARFETCHD,True,8,317,-2,256,-3,0.617,-13.0,0.617,-13.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DODUO,True,14,256,3,287,0,0.958,0.3,0.958,0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DODRIO,True,18,272,-2,296,1,1.207,-0.6,1.207,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SEEL,True,11,298,8,256,-2,0.718,-1.2,0.718,-1.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DEWGONG,True,17,288,1,306,-1,0.966,-1.7,0.966,-1.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GRIMER,True,9,258,8,256,-2,0.74,-0.2,0.74,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MUK,True,12,288,7,288,-1,0.764,0.0,0.764,0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SHELLDER,True,3,643,21,256,-2,0.239,-1.6,0.239,-1.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CLOYSTER,True,15,264,0,288,-1,1.111,0.6,1.111,0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GASTLY,True,13,256,0,256,-2,0.927,-3.0,0.927,-3.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HAUNTER,True,16,269,2,308,1,1.02,-1.0,1.02,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GENGAR,True,15,256,4,317,1,1.013,1.0,1.013,1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ONIX,True,88,257,0,515,12,2.15,1.5,2.15,1.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DROWZEE,True,10,274,7,256,-2,0.781,-0.5,0.781,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HYPNO,True,16,298,3,310,2,1.059,-0.5,1.059,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KRABBY,True,4,469,18,256,-2,0.347,-1.2,0.347,-1.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KINGLER,True,13,287,3,308,1,1.034,0.3,1.034,0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VOLTORB,True,5,364,-8,256,-2,0.32,-27.9,0.32,-27.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ELECTRODE,True,12,256,0,256,-2,0.655,-11.0,0.655,-11.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
EXEGGCUTE,True,4,495,-4,256,-2,0.423,-21.1,0.423,-21.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
EXEGGUTOR,True,20,283,0,376,7,1.522,-0.1,1.522,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CUBONE,True,4,545,19,256,-2,0.325,-1.1,0.325,-1.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAROWAK,True,10,293,12,256,-2,0.699,-0.4,0.699,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HITMONLEE,True,15,256,0,273,-2,1.008,0.9,1.008,0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HITMONCHAN,True,14,256,1,264,-2,1.05,0.9,1.05,0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LICKITUNG,True,12,272,3,272,-3,0.855,-0.6,0.855,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KOFFING,True,6,369,-1,256,-2,0.505,-15.4,0.505,-15.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WEEZING,True,12,321,-1,276,-1,0.844,-8.8,0.844,-8.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RHYHORN,True,10,291,7,276,-2,0.793,0.5,0.793,0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RHYDON,True,19,272,-1,344,3,1.334,1.2,1.334,1.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CHANSEY,True,11,257,6,256,-2,0.833,-0.1,0.833,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TANGELA,True,10,320,9,256,-2,0.684,-0.8,0.684,-0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KANGASKHAN,True,22,257,-3,349,5,1.457,1.1,1.457,1.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HORSEA,True,4,399,-1,256,-2,0.385,-19.7,0.385,-19.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SEADRA,True,12,296,3,256,-2,0.739,-3.5,0.739,-3.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GOLDEEN,True,6,379,4,256,-2,0.54,-10.1,0.54,-10.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SEAKING,True,13,304,1,288,-2,0.947,-1.0,0.947,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
STARYU,True,8,326,1,256,-2,0.585,-13.1,0.585,-13.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
STARMIE,True,11,301,3,256,-2,0.727,-7.3,0.727,-7.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MR_MIME,True,13,258,4,256,-2,0.866,-1.2,0.866,-1.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SCYTHER,True,15,272,0,293,1,1.195,0.1,1.195,0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
JYNX,True,14,256,3,300,1,1.001,-0.5,1.001,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ELECTABUZZ,True,11,330,7,256,-2,0.818,-0.3,0.818,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAGMAR,True,13,293,4,272,-2,0.911,1.3,0.911,1.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PINSIR,True,15,256,1,257,-2,1.022,0.1,1.022,0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TAUROS,True,14,256,2,312,3,1.285,0.6,1.285,0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAGIKARP,True,9,317,4,256,-2,0.675,-8.0,0.675,-8.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GYARADOS,True,65,288,-1,512,11,2.069,0.9,2.069,0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LAPRAS,True,25,256,0,425,8,1.69,1.3,1.69,1.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DITTO,True,3,602,21,256,-2,0.232,-1.6,0.232,-1.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
EEVEE,True,3,476,17,256,-2,0.391,-1.8,0.391,-1.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VAPOREON,True,10,316,7,256,-2,0.781,-0.9,0.781,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
JOLTEON,True,8,283,8,256,-2,0.691,-1.1,0.691,-1.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
FLAREON,True,9,302,11,256,-2,0.678,-0.2,0.678,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PORYGON,True,8,328,7,256,-2,0.539,-5.6,0.539,-5.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
OMANYTE,True,4,521,20,256,-2,0.304,-0.6,0.304,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
OMASTAR,True,10,307,5,256,-2,0.758,-3.2,0.758,-3.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KABUTO,True,5,438,21,256,-2,0.266,-1.0,0.266,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KABUTOPS,True,13,271,1,256,-2,0.979,-0.6,0.979,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
AERODACTYL,True,18,275,-1,317,2,1.32,0.8,1.32,0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ARTICUNO,True,17,278,0,308,1,1.289,2.7,1.289,2.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ZAPDOS,True,16,275,1,330,3,1.244,0.0,1.244,0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MOLTRES,True,20,270,1,379,6,1.48,-1.3,1.48,-1.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DRATINI,True,18,256,8,386,6,0.96,-1.6,0.96,-1.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DRAGONAIR,True,40,274,0,423,6,1.46,-0.5,1.46,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DRAGONITE,True,22,283,-1,342,4,1.406,0.7,1.406,0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MEWTWO,True,20,276,-1,342,5,1.419,0.5,1.419,0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MEW,True,4,460,-2,256,-2,0.445,-20.4,0.445,-20.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CINNABAR_MAGIKARP,True,6,512,18,256,-2,0.491,3.0,0.491,3.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BAYLEEF,True,12,296,4,256,-2,0.849,-0.8,0.849,-0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MEGANIUM,True,18,286,0,317,2,1.29,1.6,1.29,1.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CYNDAQUIL,True,5,539,19,256,-2,0.311,-1.5,0.311,-1.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
QUILAVA,True,9,329,10,256,-2,0.679,-0.3,0.679,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TYPHLOSION,True,17,284,-1,287,0,1.176,0.2,1.176,0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TOTODILE,True,6,487,20,256,-2,0.335,-0.1,0.335,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CROCONAW,True,11,378,11,256,-2,0.64,-0.4,0.64,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
FERALIGATR,True,23,282,-1,375,6,1.547,0.9,1.547,0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SENTRET,True,8,439,12,256,-2,0.594,-0.7,0.594,-0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
FURRET,True,18,346,10,256,-2,0.673,-0.5,0.673,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HOOTHOOT,True,7,380,15,256,-2,0.453,-1.2,0.453,-1.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NOCTOWL,True,16,278,2,256,-2,0.954,-0.3,0.954,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LEDYBA,True,10,256,4,256,-2,0.745,-5.0,0.745,-5.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LEDIAN,True,14,256,1,256,-2,1.0,0.0,1.0,0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SPINARAK,True,5,414,20,256,-2,0.281,-1.0,0.281,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ARIADOS,True,11,316,7,256,-2,0.795,-0.1,0.795,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CROBAT,True,18,279,-1,313,2,1.285,1.0,1.285,1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CHINCHOU,True,5,424,-2,256,-2,0.362,-21.3,0.362,-21.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LANTURN,True,12,269,6,256,-2,0.831,-3.0,0.831,-3.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PICHU,True,3,508,17,256,-2,0.348,-1.9,0.348,-1.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CLEFFA,True,3,462,22,256,-2,0.252,-0.4,0.252,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
IGGLYBUFF,True,3,457,-1,256,-2,0.295,-22.2,0.295,-22.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TOGEPI,True,3,507,21,256,-2,0.23,-1.9,0.23,-1.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TOGETIC,True,6,424,15,256,-2,0.505,-0.1,0.505,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NATU,True,2,610,23,256,-2,0.191,-1.0,0.191,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
XATU,True,15,258,4,317,3,1.117,0.8,1.117,0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAREEP,True,6,379,18,256,-2,0.405,-0.2,0.405,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
FLAAFFY,True,8,372,13,256,-2,0.551,-0.9,0.551,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
AMPHAROS,True,14,275,2,283,-1,0.992,0.1,0.992,0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BELLOSSOM,True,4,472,19,256,-2,0.345,-0.2,0.345,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MARILL,True,4,476,19,256,-2,0.342,-0.3,0.342,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
AZUMARILL,True,8,448,15,256,-2,0.468,-0.9,0.468,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
POLITOED,True,11,289,5,256,-2,0.837,-1.0,0.837,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HOPPIP,True,4,562,-7,256,-2,0.356,-26.0,0.356,-26.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SKIPLOOM,True,6,387,0,256,-2,0.409,-17.8,0.409,-17.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
JUMPLUFF,True,8,418,-4,256,-2,0.557,-17.7,0.557,-17.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
AIPOM,True,8,363,8,256,-2,0.718,-0.5,0.718,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SUNKERN,True,3,541,0,256,-2,0.275,-21.4,0.275,-21.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SUNFLORA,True,8,374,12,256,-2,0.597,-0.6,0.597,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
YANMA,True,12,274,-4,256,-2,0.73,-12.4,0.73,-12.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WOOPER,True,4,479,20,256,-2,0.292,-0.4,0.292,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
QUAGSIRE,True,14,273,4,273,-2,0.909,0.4,0.909,0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ESPEON,True,9,363,12,256,-2,0.615,-0.1,0.615,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
UMBREON,True,10,317,9,256,-2,0.719,-0.6,0.719,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MURKROW,True,5,401,-8,256,-2,0.488,-23.6,0.488,-23.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SLOWKING,True,20,265,-1,330,4,1.358,0.9,1.358,0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MISDREAVUS,True,7,407,-8,256,-2,0.446,-24.4,0.446,-24.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
UNOWN,True,5,411,2,256,-2,0.385,-16.4,0.385,-16.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WOBBUFFET,True,13,274,4,256,-2,0.883,-0.7,0.883,-0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GIRAFARIG,True,15,281,2,256,-2,0.977,-0.6,0.977,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PINECO,True,6,445,2,256,-2,0.45,-14.3,0.45,-14.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
FORRETRESS,True,12,293,5,256,-2,0.731,-3.9,0.731,-3.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DUNSPARCE,True,15,284,15,256,-2,0.492,-0.5,0.492,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
